,coef,std_err,z_value,p_value,ci_2.5%,ci_97.5%,odds_ratio,or_ci_2.5%,or_ci_97.5%
const,4.3982581161570415,4.038503474858259,1.0890811766136734,0.2761180898639791,-3.517063246005006,12.313579478319088,81.30911420858644,0.029686489192932163,222699.69380410772
recent_goals_against_per_match,-0.8281991128672123,0.48246419639486915,-1.7166022246951957,0.08605187573548541,-1.7738115616312151,0.1174133358967907,0.4368352693915073,0.1696849898691623,1.1245841646423103
opp_elo_max,-0.0030367031557589665,0.0019355262395118608,-1.5689289526370989,0.1166644947188346,-0.006830264876334461,0.0007568585648165273,0.996967902963617,0.9931930083651918,1.000757145054533
host_team_flag,1.215547934282405,1.1390604158127153,1.0671496589714393,0.2859042605769221,-1.0169694569257353,3.4480653254905453,3.37214127000868,0.3616893962321086,31.439508217150983
log_gdp_per_capita_pre,0.2732177700376766,0.1758008216544362,1.5541324975984956,0.12015281488765944,-0.07134550885756757,0.6177810489329207,1.314186404087884,0.9311401193842429,1.8548077445439188
confed_CAF,-0.8546511956401962,0.6281741590438882,-1.3605322398823554,0.17366155775744463,-2.085849923384953,0.3765475321045605,0.4254315575874126,0.1242015135225694,1.4572448036904377
confed_OFC,-25.113794515820242,273690.05699920893,-9.175998131306915e-05,0.9999267861277135,-536447.7684396799,536397.5408506482,1.2394174949589384e-11,0.0,inf
confed_UEFA,-0.20378640712128238,0.4057678358518626,-0.5022241516345336,0.6155098558826867,-0.9990767514756936,0.5915039372331289,0.8156365667454436,0.36821924215886975,1.806703541922081
