"model","term","estimate","std.error","statistic","p.value","odds_ratio"
"glm_base","(Intercept)",-11.7051483668415,4.5243893394904,-2.5871222586162,0.00967812460291425,8.251229265476e-06
"glm_base","team_elo_pre",0.00521155903647467,0.00250761098822706,2.07829645863825,0.037682062431869,1.00522516283233
"glm_base","recent_goal_diff_per_match",0.441082386733327,0.328529786035825,1.34259481326064,0.179403210768617,1.55438875807929
"glm_base","log_gdp_per_capita_pre",0.34963173013613,0.214545665303115,1.62963781925942,0.103178066354818,1.41854504499738
"glm_base","host_team_flag",1.96287480848701,1.23335067740343,1.59149773413953,0.111497604952409,7.11976563526673
"glm_base","confederationAFC",-2.3356292643057,0.887223872176731,-2.63251399962383,0.00847555299508329,0.0967495823085645
"glm_base","confederationCAF",-1.13702487586789,0.807098512743689,-1.40878078439598,0.158899998773054,0.320771939927968
"glm_base","confederationCONCACAF",-0.691345242069657,0.780127812204647,-0.886194840453015,0.375512543477413,0.500901781478516
"glm_base","confederationUEFA",-1.69383420250311,0.679091077026865,-2.49426661578135,0.0126217698707023,0.183813393361215
"glm_alt","(Intercept)",-2.44371097982088,1.90920474228476,-1.27996276444215,0.200558231775289,0.0868379987215483
"glm_alt","elo_gap_vs_opp_mean",0.00596377600809855,0.00201698613189842,2.9567759112381,0.00310873958144288,1.0059815947249
"glm_alt","recent_win_rate",1.4368951655009,1.25233408232328,1.14737368069967,0.251227213992908,4.2076115777235
"glm_alt","log_gdp_per_capita_pre",0.322114171124517,0.215561118490158,1.49430552866251,0.135095780763683,1.38004232794759
"glm_alt","host_team_flag",2.06468527524714,1.28522883541408,1.60647288510449,0.108170047928706,7.88281658970781
"glm_alt","confederationAFC",-2.25581484270278,0.897556093266312,-2.51328564267622,0.0119612443403859,0.104788123101376
"glm_alt","confederationCAF",-0.8808630472057,0.836300141909757,-1.05328577990454,0.292210034214523,0.414425088879878
"glm_alt","confederationCONCACAF",-0.618726280047888,0.806853508016156,-0.766838433372095,0.443177582320351,0.538630064713742
"glm_alt","confederationUEFA",-1.73073334852235,0.681935970673958,-2.53797045903279,0.0111497395517968,0.177154446369922
